0.0 I am looking for a place to dine. The restaurant should be in the west and should be in the cheap price range	1.0 I have both an Italian restaurant and a Vietnamese Restaurant. Do you have a preference?
0.0 Thank you. Could I have the reference number for my records, please?	1.0 The reference number is ELAA65RK . Can I be of further assistance?
0.0  Would you like to have a perm ? 	1.0  Do you think it will suit me ? 
0.0 Hi, I am looking for a train that is leaving on friday after 13:15.	1.0 Where would you like to leave from and go to?
0.0 Welcome back , Sir . I trust the materials were helpful to you ? 	1.0  Indeed . I've decided to go for the Petty Consumer Loan . That is , if my credit rating is satisfactory . 
0.0 Sure free parking is fine, let me know if they do or don't. Please also give me a phone number, internet doesn't matter.	1.0 The Carolina Bed and Breakfast has free parking and their phone number is 01223247015, do you want me to book a reservation for you?
0.0 Thank you for your help today, I do not need anything else.	1.0 You are welcome enjoy
0.0 I would also like to find a train that would arrive at 19:45 and depart from Cambridge.	1.0 What is your destination and travel day?
0.0  Do you mean to say that I can open a letter of credit in yen with a bank in London or Bonn ? 	1.0  Sure you can . Several of the banks in London , such as the National Westminster Bank and Barclays Bank are in a position to open letters of credit in yen . They'll do so against our sales confirmation or contract . 
0.0 No, thank you. I have everything I need at this time.	1.0 Thank you for calling. I hope you enjoy your trip. Goodbye.
0.0  Is the entrance charge expensive ? 	1.0  Well , it costs an arm and a leg — 30 yuan per person . What a costly sport ! That is why I have to refrain from even thinking about it . And I find jogging a very agreeable substitute . 
0.0 12:15 on the same day as the hotel please	1.0 What day would that reservation be needed and number of people?
0.0  My train will leave at 3:00 , I'll have to arrive there before 2:50 . 	1.0  We are really in a hurry . 
0.0 It really needs to be in the south and have a 5 star rating. It can be a hotel or guesthouse though.	1.0 I'm sorry but there are no hotels are guesthouses with a 5 star rating in the south. Would you like to try a 4 star rating instead?
0.0  I ran it against that fence pole as I crashed . What do you think ? Damn , it hurts ! 	1.0  We'll have to get you to a hospital . I can ride you on the back of my bike . 
0.0  The dog bit the delivery boy . 	1.0  What a pity ! 
0.0 I should have mentioned this before, sorry for wasting everyone's time. I need info on a place called museum of archaelogy and anthropology, what area is it in?	1.0 That museum is located in the centre of town. Their address is University of Cambridge, Downing Street. They also offer free entrance.
0.0 thanks I need to find a theatre in the same general area as the restaurant	1.0 Okay, The Junction is located in the south.
0.0 No, you have helped me fully. Thank you very much.	1.0 Call us again anytime. Good Bye.
0.0 I also need to leave via train from cambridge after 9:15 on sunday, can you help me with that?	1.0 Sure! Where will you be going?
