Nombre|Nombre_Alternativo|Definición|Pregunta|Respuesta
Algoritmo||Secuencia de instrucciones para resolver un problema.|Ejemplo|Algoritmo para hacer croquetas: Paso 1: Picar el jamón en trocitos pequeños. Paso 2: Poner en una la sartén un poco de mantequilla, una cucharada de harina...
Aprendizaje automático|Machine Learning|El aprendizaje automático es una rama dentro de la IA que permite a un ordenador aprender en base a ejemplos.|Extra|Se pueden agrupar en: Supervisados, No supervisados, Semi-supervisados.
Bot||Un bot es un programa informático capaz de realizar tareas repetitivas. Comúnmente opera en Internet y suele simular el comportamiento que tendría una persona, haciendo lo mismo pero de forma automática.|Ejemplo|Los bots conversacionales que funcionan como asistentes virtuales o chatbots son un ejemplo (Siri, Alexa, Cortana...). Otro ejemplo son los bots encargados de realizar la indexación de páginas web, para que cuando hagas una búsqueda encuentres lo que quieres.
Big data||Big Data hace referencia a una gran cantidad de datos, tanto estructurados como no estructurados, que no pueden ser analizados por los algoritmos. convencionales.|Ejemplo|Piensa en el ADN de los organismos que habitan en nuestro planeta, o bien, en la cantidad de vídeos de TikTok que se publican día a día. Los algoritmos convencionales se "atragantrían" con tantos datos y es necesario utilizar algoritmos y estrategias diferentes.
Aprendizaje por refuerzo||El aprendizaje por refuerzo es un tipo de aprendizaje automático por la cual tras una decisión tomada por un algoritmo se da un refuerzo (positivo o negativo). Así se "alienta" o "castiga" estas decisiones permitiendo que el algoritmo aprenda.|Ejemplo|Este tipo de aprendizaje es típicamente usado en robótica. Se podría usar para enseñar a un brazo robótico a servir copas, dando un refuerzo positivo cuando consigue servir un trago y un refuerzo negativo cuando. 
IoT|Internet de las Cosas|La Internet de las Cosas es un concepto que se refiere a una interconexión digital de objetos cotidianos con Internet. Es un nuevo paradigma en el que diferentes dispositivos interactúan entre sí sin intervención humana.|Ejemplo|Un ejemplo de uso de IoT son las pulseras de actividad que pueden ser usadas en temas de Salud Conectada para saber el estado de una persona. Podría detectar si eres un/a sonámbulo/a...
Metaverso||Un metaverso es un universo creado en el ciberespacio. A estos universos se podría acceder con realidad virtual y en el que, idealmente, se deberá poder viajar a través de diferentes experiencias de forma compartida con millones de usuarios.|Ejemplo|Primeros intentos de metaversos podrían ser Roblox, Fortnite o Animal Crossing: New Horizons. Aún se están imaginando estos nuevos metaversos... es un nuevo campo por explorar y en breve tendremos incontables universos donde "vivir". 
Procesamiento del lenguaje natural||Primeros intentos de metaversos podrían ser Roblox, Fortnite o Animal Crossing: New Horizons. Aún se están imaginando estos nuevos metaversos... es un nuevo campo por explorar y en breve tendremos incontables universos donde "vivir".|Extra|Por medio de estos algoritmos se pueden crear asistentes virtuales, realizar resúmenes de texto de forma automática e incluso analizar el sentimiento de publicaciones en RRSS.
Blockchain||Blockchain es un sistema para transferencia digital basado en la distribución de la información en varios ordenadores independientes que registran y validan dicha información, eliminando  a los intermediarios.|Extra|Si hablamos de transferencias bancarias, éstas se podrían hacer sin necesidad de un ordenador centralizado (un banco).
Aprendizaje federado||El Aprendizaje Federado es una técnica de aprendizaje automático que permite entrenar un algoritmo de forma descentralizada, usando sus propios datos (privados y locales).|Extra|También se lo conoce como Aprendizaje Colaborativo, ya que cada usuario aprende un modelo con sus propios datos, pero solo comparte este modelo (los datos siguen siendo privados) con otros usuarios.
Ciencia de datos||La Ciencia de Datos abarca herramientas que permiten extraer información útil de conjuntos de datos. Incluye principalmente a la estadística y a la informática (específicamente técnicas de minería de datos y aprendizaje automático). Se ha vuelto muy popular desde que se acuñó el concepto de Big Data.|Extra|Los científic@s de datos constituyen un nuevo perfil académico. Existen varios másteres que se especializan en Ciencia de Datos y es probable que en breve también se abran carreras de grado específicas...
Green computing|Computación Ecológica|El Green Computing hace referencia a la computación que hace un uso responsable de los recursos. Intenta, por ejemplo, minimizar el uso de la energía, haciendo un uso eficiente de la misma y reduciendo el impacto ambiental.|Ejemplo|Una idea para ser más "verde" es tener un centro de datos que puedan utilizar varios investigadores y así aprovechar mejor los recursos sin necesidad de duplicarlos. Para ello es imprescindible contar con una buena red de comunicaciones para conectarlos. 
Sobreajuste|Overfitting|El sobreajuste (en inglés overfitting) es la consecuencia de crear un modelo ajustado a un conjunto de ejemplos tan, pero tan requetebien, que cuando le presentas nuevos ejemplos un poco diferentes es incapaz de identificarlos. No consigue generalizar el patrón aprendido.|Ejemplo|Imagina que generas un modelo (una red neuronal, por ejemplo) en base a muchas imágenes de gatos de color blanco, marrón y naranja. Cuando le das una nueva imagen de un gato con esos colores la identifica correctamente como un gato, pero si le das una imagen de un gato negro... pues te dirá que de gato eso no tiene ná...
Subajuste|Underfitting|Casi no se habla de él, pero sí, si que existe. Sucede cuando se genera un modelo demasiado simple, incapaz de funcionar incluso con el conjunto de ejemplos con el cual se genera. No consigue identificar un patrón.|Extra|Puede suceder que no se tengan suficientes datos para generar el modelo. Pero tranquilxs... hay formas de solucionarlo. Por ejemplo, se pueden ajustar los parámetros del algoritmo que estas utilizando o probar con otro tipo de algoritmo que mejor se adapte a los datos.
