,Topic,Text
0,Algoritmo,"Secuencia de instrucciones para resolver un problema. Un ejemplo de algoritmo para hacer croquetas es el siguiente: Paso 1: Picar el jamón en trocitos pequeños, Paso 2: Poner en una la sartén un poco de mantequilla, una cucharada de harina..."
1,Aprendizaje automático,"El aprendizaje automático es una rama dentro de la IA que permite a un ordenador aprender en base a ejemplos. Se pueden agrupar en: Supervisados, No supervisados, Semi-supervisados."
2,Bot,"Un bot es un programa informático capaz de realizar tareas repetitivas. Comúnmente opera en Internet y suele simular el comportamiento que tendría una persona, haciendo lo mismo pero de forma automática. Los bots conversacionales que funcionan como asistentes virtuales o chatbots son un ejemplo (Siri, Alexa, Cortana...). Otro ejemplo son los bots encargados de realizar la indexación de páginas web, para que cuando hagas una búsqueda encuentres lo que quieres."
3,Big data,"Big Data hace referencia a una gran cantidad de datos, tanto estructurados como no estructurados, que no pueden ser analizados por los algoritmos. convencionales. Piensa en el ADN de los organismos que habitan en nuestro planeta, o bien, en la cantidad de vídeos de TikTok que se publican día a día. Los algoritmos convencionales se ""atragantrían"" con tantos datos y es necesario utilizar algoritmos y estrategias diferentes."
4,Aprendizaje por refuerzo,"El aprendizaje por refuerzo es un tipo de aprendizaje automático por la cual tras una decisión tomada por un algoritmo se da un refuerzo (positivo o negativo). Así se ""alienta"" o ""castiga"" estas decisiones permitiendo que el algoritmo aprenda. Este tipo de aprendizaje es típicamente usado en robótica. Se podría usar para enseñar a un brazo robótico a servir copas, dando un refuerzo positivo cuando consigue servir un trago y un refuerzo negativo cuando. "
5,IoT,La Internet de las Cosas es un concepto que se refiere a una interconexión digital de objetos cotidianos con Internet. Es un nuevo paradigma en el que diferentes dispositivos interactúan entre sí sin intervención humana. Un ejemplo de uso de IoT son las pulseras de actividad que pueden ser usadas en temas de Salud Conectada para saber el estado de una persona. Podría detectar si eres un/a sonámbulo/a...
6,Metaverso,"Un metaverso es un universo creado en el ciberespacio. A estos universos se podría acceder con realidad virtual y en el que, idealmente, se deberá poder viajar a través de diferentes experiencias de forma compartida con millones de usuarios. Primeros intentos de metaversos podrían ser Roblox, Fortnite o Animal Crossing: New Horizons. Aún se están imaginando estos nuevos metaversos... es un nuevo campo por explorar y en breve tendremos incontables universos donde ""vivir"". "
7,Blockchain,"Blockchain es un sistema para transferencia digital basado en la distribución de la información en varios ordenadores independientes que registran y validan dicha información, eliminando  a los intermediarios. Si hablamos de transferencias bancarias, éstas se podrían hacer sin necesidad de un ordenador centralizado (un banco)."
8,Aprendizaje federado,"El Aprendizaje Federado es una técnica de aprendizaje automático que permite entrenar un algoritmo de forma descentralizada, usando sus propios datos (privados y locales). También se lo conoce como Aprendizaje Colaborativo, ya que cada usuario aprende un modelo con sus propios datos, pero solo comparte este modelo (los datos siguen siendo privados) con otros usuarios."
9,Ciencia de datos,La Ciencia de Datos abarca herramientas que permiten extraer información útil de conjuntos de datos. Incluye principalmente a la estadística y a la informática (específicamente técnicas de minería de datos y aprendizaje automático). Se ha vuelto muy popular desde que se acuñó el concepto de Big Data. Los científic@s de datos constituyen un nuevo perfil académico. Existen varios másteres que se especializan en Ciencia de Datos y es probable que en breve también se abran carreras de grado específicas...
10,Green computing,"El Green Computing hace referencia a la computación que hace un uso responsable de los recursos. Intenta, por ejemplo, minimizar el uso de la energía, haciendo un uso eficiente de la misma y reduciendo el impacto ambiental. Una idea para ser más ""verde"" es tener un centro de datos que puedan utilizar varios investigadores y así aprovechar mejor los recursos sin necesidad de duplicarlos. Para ello es imprescindible contar con una buena red de comunicaciones para conectarlos. "
11,Sobreajuste,"El sobreajuste (en inglés overfitting) es la consecuencia de crear un modelo ajustado a un conjunto de ejemplos tan, pero tan requetebien, que cuando le presentas nuevos ejemplos un poco diferentes es incapaz de identificarlos. No consigue generalizar el patrón aprendido. Imagina que generas un modelo (una red neuronal, por ejemplo) en base a muchas imágenes de gatos de color blanco, marrón y naranja. Cuando le das una nueva imagen de un gato con esos colores la identifica correctamente como un gato, pero si le das una imagen de un gato negro... pues te dirá que de gato eso no tiene ná..."
12,Subajuste,"Casi no se habla de él, pero sí, si que existe. Sucede cuando se genera un modelo demasiado simple, incapaz de funcionar incluso con el conjunto de ejemplos con el cual se genera. No consigue identificar un patrón. Puede suceder que no se tengan suficientes datos para generar el modelo. Pero tranquilxs... hay formas de solucionarlo. Por ejemplo, se pueden ajustar los parámetros del algoritmo que estas utilizando o probar con otro tipo de algoritmo que mejor se adapte a los datos."
13,Realidad aumentada,"La Realidad Aumentada es el conjunto de tecnologías que permiten visualizar, a través de algún tipo de dispositivo, el mundo real con algunos ""extras"". Estos extras pueden ser gráficos, fotos o videos, interactivos o no, que agregan información a lo que un ser humano vería normalmente. Se diferencia de la Realidad Virtual en que esta última no incorpora elementos reales, es completamente virtual, en el sentido que lo que se ve, está generado por un ordenador."
14,Modelo,"Todos los modelos en IA generalmente aprenden una función F que relaciona los valores de entrada x y los valores de salida y. y = F(x). El modelo es una representación de los valores x que se han usado para entrenarlo. Cuanto más acertado sea el modelo, mejor representará a estos valores y será, por tanto, un mejor predictor ante nuevos ejemplos."
15,Modelos generativos,"Los modelos generativos se llaman así porque generan nuevos ejemplos, similares a los del conjunto de datos con los que fueron entrenados. También se los conoce como Redes Generativas Antagónicas o GANs (por sus siglas en inglés). Son básicamente dos modelos (redes neuronales artificiales) que compiten entre sí: una genera nuevos ejemplos y la otra intenta discriminar entre los ejemplos reales y los sintéticos. Poco a poco el generador se vuelve tan bueno que el discriminador es incapaz de distinguir entre realidad y ficción."
16,Grafo,"Puedes representar un problema como un grafo, por ejemplo, la conexión entre personas en una red social. Cada punto del grafo es una persona y las líneas que las unen representan las amistades. Usando esa estructura de datos es posible aplicar algoritmos específicos de teoría de grafos para: Detectar comunidades, Identificar personas influyentes, Medir la popularidad de una persona, Detectar quiénes controlan el flujo de información. ¡Y mucho más!"
17,Árbol,"Un árbol es una estructura de datos. Es un tipo de grafo con una estructura jerárquica, como un árbol en la naturaleza. Tiene la particularidad de no tener ciclos. Usando esta estructura de datos es más fácil solucionar algunos probelmas comunes como: Búsqueda de prefijos en cadenas de caracteres, Representación de fórmulas matemáticas, Representación HTML, Toma de decisiones. ¡Y mucho más!"
18,Árbol de decisión,"Es la representación de una serie de reglas para tomar una decisión. Existe un modelo de aprendizaje que aprende estas reglas basándose en ejemplos. El truco es identificar aquellas decisiones que mejor dividan al conjunto de ejemplos. Por ejemplo, si tenemos que clasificar una cesta de la compra en una cesta navideña o normal, que esté dentro un pan dulce o un turrón es casi determinante. Las decisiones más relevantes estarán más arriba en la jerarquía del árbol resultante. "
19,Reglas de asociación,"Las reglas de asociación son implicaciones lógicas del tipo ""Si X, entonces Y"". Se pueden obtener de un árbol de decisión o deducir directamente del conjunto entrenamiento. Por ejemplo, si tenemos un conjunto de datos con información del alto (X), ancho (Y) y profundidad (Z) de un objeto y queremos clasificarlo como grande o pequeño podemos tener reglas como: Si (X > 20) entonces grande, Si (X <= 20) entonces pequeño, Si (X > 10) e (Y>10) entonces grande."
20,Prolog,"El Prolog es un lenguaje de programación interpretado desarrollado en Francia en los '70. En este lenguaje existen dos tipos de cláusulas: Hechos y Reglas. Los Hechos siempre son ciertos, mientras que las Reglas definen una relaciones entre diferentes Hechos y/o Reglas. Aquí tienes como resolver en PROLOG un factorial con dos Hechos y una Regla:\nfactorial(0, 1).\nfactorial(1, 1).\nfactorial(N, F) :- \n N>0, \n N1 is N - 1,\n factorial(N1, F1),\n F is N * F1."
21,Sugar code,"El sugar coding es un término que se refiere a los elementos agregados a un lenguaje de programación para hacer que su programación sea más sencilla (i.e., mas dulce), sin afectar su funcionalidad. A) a = a + 1 se puede escribir como a += 1. B) 1 < x and x < 10 se puede escribir como 1 < x < 10. C) number = 1000000000 se puede escribir como number = 1_000_000_000."
22,Autoencoder,Los autoencoders son un tipo particular de red neuronal artificial que se divide en dos partes: la codificadora y la descodificadora. Funciona como una red neuronal multicapa normal y se utilizan para aprender codificaciones eficientes de datos no etiquetados. Las capas ocultas de la red se hacen cada vez más pequeñas en la porción codificadora para luego volver a crecer en la descodificadora. La idea es poder reducir la cantidad de información necesaria para representar la información. Con esta porción mínima de datos se pretende reconstruir la señal de entrada en la fase descodificadora.
23,GPU,"Las GPUs son como las CPUs pero para gráficos. Son co-procesadores matemáticos diseñados para el procesamiento de gráficos y operaciones en punto flotante. Es decir, ayudan a la CPU a procesar todo lo relacionado con aplicaciones 3D, videojuegos, ... Las tarjetas gráficas que se usan para otra cosa que no sea el procesamiento gráfico se llaman GP-GPUs o GPUs de propósito general. Estas GPUs son capaces de procesar cálculos numéricos mucho más rápidamente que la CPU y pueden trabajar de forma paralela. Han sido las culpables del boom de todo el tema alrededor del Deep Learning."
24,Xenobot,"Los xenobots (también llamdos biobots) son mitad animal y mitad robots. Son primeros robots vivos autorreplicantes. Fueron creados gracias a células de embriones de rana de uñas africanas, y han sido diseñados con un ordenador a partir de bloques de construcción biológicos específicos basados en un algoritmo evolutivo. Son como pequeños Pac-Man."
25,Máquina de Turing,Una Máquina de Turing es un dispositivo que utiliza una tabla de reglas para manipular símbolos en una cinta de datos. Un máquina de Turin es un modelo formal de computación capaz de realizar cualquier cómputo (que un ordenador sea capaz de realizar). Gracias a este modelo teórico es posible categorizar los problemas computacionales de acuerdo a su complejidad: A) Complejidad P: Sus soluciones pueden encontrarse en tiempo polinómico por máquinas de Turing deterministas. B) Complejidad NP: Sus soluciones pueden encontrarse en tiempo polinómico por máquinas de Turing no deterministas.
26,Test de Turing,"El Test de Turing es una prueba para medir la inteligencia de una máquina. Consiste en preguntar a una máquina y a un humano una serie de preguntas. Si el que pregunta no es capaz de distinguir quién es el humano y quién es la máquina, entonces se dice que esta última es inteligente y ha superado el test. En el 2014 se dijo que una IA llamada Eugene había superado el test, pero solamente había convencido a un 30% de los jueces... Asi que yo diría que aún no se ha desarrollado ninguna máquina capaz de engañar completamente a un humano haciendose pasar por alguien de su misma especie."
27,Turing completo,"Un sistema Turing Completo es aquel que tiene un poder computacional equivalente a la Máquina de Turing Universal. En otras palabras, un sistema Turing Completo puede emular una Máquina de Turing Universal y viceversa. Como verás, lxs informáticxs y matemáticxs también filosofamos... Algunos ejemplos son Cálculo lambda (sin tipo), Autómatas celulares, Ordenadores cuánticos, Gramáticas formales, y muchas otras..."
28,Smart data,"Smart data se refiere a datos que han sido preprocesados y curados. Estos datos están listos para ser usados, es decir, se les pueden aplicar directamente algoritmos de Machine Learning (Aprendizaje Automático). Nos referimos a big data cuando realizamos la extracción de datos sin más, en particular cuando recogemos una gran cantidad de datos. El smart data, por otro lado, recoge también una gran cantidad de datos, pero incluye además el valor añadido del análisis de estos datos."
29,Metadata,"Los metadatos son información que acompañan a los datos en sí. Por ejemplo, cuando tomas una fotografía, a la imágen en sí le acompañan metadatos que incluyen información de quién es el/la autor/a, su posición GPS, la fecha y hora, etc. Los metadatos puedes ser: Descriptivos como los datos EXIF, Administrativos como los derechos de autor, Estructurales relaciondo con otros datos, De Lenguaje como por ejemplo XML"
30,Función Hash,"Una Función Hash o Función Resumen es una función matemática que transforma un conjunto de datos en un código alfanumérico de longitud fija. Independientemente de la cantidad de datos que se utilice, el código resultante tendrá siempre el mismo número de caracteres. Las funciones Hash se utilizan en criptografía (e.g., firma digital), en la generación de números aleatorios, en sistemas de búsqueda en textos, y mucho más. Las funciones Hash también forman parte de estructuras de datos que se utilizan en muchos algoritmos de inteligencia artificial."
31,Tabla Hash,"Una Tabla Hash es una estructura de datos que relaciona un valor llamado ""clave"" con otro u otros elementos. Tiene la particularidad de realizar operaciones de búsqueda muy rápidas gracias al uso de funciones hash. Las claves de la tabla hash están codificadas de tal manera que solo hay un sitio posible dentro de la estructura donde puede guardarse cada dato. Así, buscarlo es cuestión de aplicar una función matemática e ir a buscar el dato en donde se indique."
32,Merkle Tree,"Una Árbol Hash o Árbol de Merkle es una estructura de datos tipo árbol en el que: A) Cada nodo hoja está etiquetado con el resultado de aplicar una Función Hash al dato correspondiente a esa hoja. A) Cada nodo interno está etiquetado con el resultado de aplicar una Función Hash a la concatenación de las etiquetas de sus nodos descendientes. Los Árboles de Merkle son utilizados para registrar transacciones entre pares, tipo Blockchain. Pero tranquil@, en breve te hago un vídeo explicando como funcionan... "
