,Topic,Subject,Text
0,Algoritmo,Algorithm,"Sequence of instructions to solve a problem. Algorithm for making croquettes: Step 1: Chop the ham into small pieces. Step 2: Put in a frying pan a little butter, a spoonful of flour and..."
0,Aprendizaje automático,Automatic learning,"Machine learning is a branch within AI that allows a computer to learn based on examples. They can be grouped into: Supervised, Unsupervised, Semi-supervised."
0,Bot,Bot,"A bot is a computer program capable of performing repetitive tasks. It commonly operates on the Internet and usually simulates the behavior that a person would have, doing the same thing but automatically. Conversational bots that function as virtual assistants or chatbots are an example (Siri, Alexa, Cortana...). Another example is the bots in charge of indexing web pages, so that when you do a search you find what you want."
0,Big data,Big data,"Big Data refers to a large amount of data, both structured and unstructured, that cannot be analyzed by conventional algorithms. Think of the DNA of the organisms that inhabit our planet, or the number of TikTok videos that are posted every day. Conventional algorithms get ""choked"" with so much data and it is necessary to use different algorithms and strategies."
0,Aprendizaje por refuerzo,Reinforcement learning,"Reinforcement learning is a type of machine learning whereby a decision made by an algorithm is followed by a reinforcement (positive or negative). This ""encourages"" or ""punishes"" these decisions allowing the algorithm to learn. This type of learning is typically used in robotics. It could be used to teach a robotic arm to pour drinks, giving positive reinforcement when it succeeds in pouring a drink and negative reinforcement when it fails."
0,Internet de las Cosas (IoT),Internet of Things (IoT),The Internet of Things is a concept that refers to a digital interconnection of everyday objects with the Internet. It is a new paradigm in which different devices interact with each other without human intervention. An example of IoT use are the activity bracelets that can be used in Connected Health issues to know the status of a person. It could detect if you are a sleepwalker...
0,Metaverso,Metaverse,"A metaverse is a universe created in cyberspace. These universes could be accessed with virtual reality and, ideally, one should be able to travel through different experiences shared with millions of users. First attempts at metaverses could be Roblox, Fortnite or Animal Crossing: New Horizons. These new metaverses are still being imagined... it is a new field to explore and soon we will have countless universes to ""live"" in."
0,Blockchain,Blockchain,"Blockchain is a system for digital transfer based on the distribution of information in several independent computers that register and validate such information, eliminating intermediaries. If we talk about bank transfers, these could be done without the need for a centralized computer (a bank)."
0,Aprendizaje federado,Federated learning,"Federated Learning is a machine learning technique that allows to train an algorithm in a decentralized way, using its own data (private and local). It is also known as Collaborative Learning, since each user learns a model with its own data, but only shares this model (the data remains private) with other users."
0,Ciencia de datos,Data science,Data Science encompasses tools that allow useful information to be extracted from data sets. It mainly includes statistics and computer science (specifically data mining and machine learning techniques). It has become very popular since the concept of Big Data was coined. Data scientists constitute a new academic profile. There are several master's degrees that specialize in Data Science and it is likely that soon there will also be specific degree programs...
