,Pregunta,Respuesta,Contexto
0,¿Podrías mostrarme algunos ejemplos de metadatos?,"Los metadatos puedes ser: Descriptivos como los datos EXIF, Administrativos como los derechos de autor, Estructurales relaciondo con otros datos, De Lenguaje como por ejemplo XML","Metadata. Metadatos. Los metadatos son información que acompañan a los datos en sí. Por ejemplo, cuando tomas una fotografía, a la imágen en sí le acompañan metadatos que incluyen información de quién es el/la autor/a, su posición GPS, la fecha y hora, etc."
1,Me ayudaría ver un ejemplo de programa con este lenguaje,"Aquí tienes como resolver en PROLOG un factorial con dos Hechos y una Regla:\nfactorial(0, 1).\nfactorial(1, 1).\nfactorial(N, F) :- \n N>0, \n N1 is N - 1,\n factorial(N1, F1),\n F is N * F1.","Prolog. El Prolog es un lenguaje de programación interpretado desarrollado en Francia en los '70. En este lenguaje existen dos tipos de cláusulas: Hechos y Reglas. Los Hechos siempre son ciertos, mientras que las Reglas definen una relaciones entre diferentes Hechos y/o Reglas."
2,¿Qué información se puede extraer de los grafos generados en el ejemplo descrito anteriormente?,"Usando esa estructura de datos es posible aplicar algoritmos específicos de teoría de grafos para: Detectar comunidades, Identificar personas influyentes, Medir la popularidad de una persona, Detectar quiénes controlan el flujo de información. ¡Y mucho más!","Grafo. Puedes representar un problema como un grafo, por ejemplo, la conexión entre personas en una red social. Cada punto del grafo es una persona y las líneas que las unen representan las amistades."
3,¿En que se diferencia esta técnica del Big Data?,"Nos referimos a big data cuando realizamos la extracción de datos sin más, en particular cuando recogemos una gran cantidad de datos. El smart data, por otro lado, recoge también una gran cantidad de datos, pero incluye además el valor añadido del análisis de estos datos.","Smart data. Datos inteligentes. Smart data se refiere a datos que han sido preprocesados y curados. Estos datos están listos para ser usados, es decir, se les pueden aplicar directamente algoritmos de Machine Learning (Aprendizaje Automático)."
4,"No entiendo el funcionamiento de este tipo de redes, me gustaría que explicase algo más sobre su funcionamiento",Las capas ocultas de la red se hacen cada vez más pequeñas en la porción codificadora para luego volver a crecer en la descodificadora. La idea es poder reducir la cantidad de información necesaria para representar la información. Con esta porción mínima de datos se pretende reconstruir la señal de entrada en la fase descodificadora.,Autoencoder. Los autoencoders son un tipo particular de red neuronal artificial que se divide en dos partes: la codificadora y la descodificadora. Funciona como una red neuronal multicapa normal y se utilizan para aprender codificaciones eficientes de datos no etiquetados.
5,"Estoy interesado en este tipo de modelos, cuéntame algo más sobre ellos",También se los conoce como Redes Generativas Antagónicas o GANs (por sus siglas en inglés). Son básicamente dos modelos (redes neuronales artificiales) que compiten entre sí: una genera nuevos ejemplos y la otra intenta discriminar entre los ejemplos reales y los sintéticos. Poco a poco el generador se vuelve tan bueno que el discriminador es incapaz de distinguir entre realidad y ficción.,"Modelos generativos. Los modelos generativos se llaman así porque generan nuevos ejemplos, similares a los del conjunto de datos con los que fueron entrenados."
6,¿Podrías indicarme algún ejemplo de computación ecológica?,"Una idea para ser más ""verde"" es tener un centro de datos que puedan utilizar varios investigadores y así aprovechar mejor los recursos sin necesidad de duplicarlos. Para ello es imprescindible contar con una buena red de comunicaciones para conectarlos. ","Green computing. Computación Ecológica. El Green Computing hace referencia a la computación que hace un uso responsable de los recursos. Intenta, por ejemplo, minimizar el uso de la energía, haciendo un uso eficiente de la misma y reduciendo el impacto ambiental."
7,¿Conoces algún ejemplo de bot?,"Los bots conversacionales que funcionan como asistentes virtuales o chatbots son un ejemplo (Siri, Alexa, Cortana...). Otro ejemplo son los bots encargados de realizar la indexación de páginas web, para que cuando hagas una búsqueda encuentres lo que quieres.","Bot. Un bot es un programa informático capaz de realizar tareas repetitivas. Comúnmente opera en Internet y suele simular el comportamiento que tendría una persona, haciendo lo mismo pero de forma automática."
8,Ponme algún ejemplo de modelo sobreajustado,"Imagina que generas un modelo (una red neuronal, por ejemplo) en base a muchas imágenes de gatos de color blanco, marrón y naranja. Cuando le das una nueva imagen de un gato con esos colores la identifica correctamente como un gato, pero si le das una imagen de un gato negro... pues te dirá que de gato eso no tiene ná...","Sobreajuste. Overfitting. El sobreajuste (en inglés overfitting) es la consecuencia de crear un modelo ajustado a un conjunto de ejemplos tan, pero tan requetebien, que cuando le presentas nuevos ejemplos un poco diferentes es incapaz de identificarlos. No consigue generalizar el patrón aprendido."
9,"Esta definición es algo compleja, ¿Podrías darme algún ejemplo de estas máquinas?","Algunos ejemplos son Cálculo lambda (sin tipo), Autómatas celulares, Ordenadores cuánticos, Gramáticas formales, y muchas otras...","Turing completo. Un sistema Turing Completo es aquel que tiene un poder computacional equivalente a la Máquina de Turing Universal. En otras palabras, un sistema Turing Completo puede emular una Máquina de Turing Universal y viceversa. Como verás, lxs informáticxs y matemáticxs también filosofamos..."
