,Subject,Question,Answer,Topic
0,excited,My spouse bought me a diamond necklace for my birthday.,Yes I was_comma_ I felt love and appreciated. ,Actitud
1,faithful,Getting married this fall,It's lovely. Be a happy couple. live long together!,Actitud
2,faithful,I was married to my wife for thirty years_comma_ and even though she has passed I can't bring myself to date anyone else.,Well_comma_ if that's how you feel then maybe it is best if you stay in the dugout and don't play the field. No shame in that.,Actitud
3,faithful,When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.,I said no and made the friend leave. I only like my spouse.,Actitud
4,faithful,I would never cheat on my wife like my brother cheated on his wife,Cheating  on your spouse is a despicable thing to do.,Actitud
5,faithful,I love my girlfriend so much. I think im going to marry her.,Congratulations and thats OK I do that a lot too.,Actitud
6,faithful,When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.,Why do cities make you feel that way?,Actitud
7,faithful,I feel this way because I have hope that I will get into grad school.,That sounds interesting_comma_ when do you learn if you got in?,Actitud
8,faithful,I feel very committed to my work. No matter how I feel_comma_ I have to press on and complete it. It's been a rough week and my will power is very strong to still work through all this,yes. It's been a rough week and my will power is very strong to still work through all this,Actitud
9,faithful,I'm hoping I can reach diamond next season in overwatch. I've been practicing a ridiculous amount,I would say it's my favorite fps now by a mile. Cod became fecal matter 5 or 6 years ago. I'm hoping I can finally stop being a pleb and hit diamond next season,Actitud
10,faithful,I have always  been faithful to my girlfiend of almost 3 years,So many people cheat nowadays. That's good to hear!,Actitud
11,faithful,I just celebrated 25 years at my job.,You should've made them buy another cake!,Actitud
12,faithful,Some one owed me some money,I thought he would not pay back after a long time,Actitud
13,faithful,3,A key to a long relationship is persistence_comma_ so keep at it! ,Actitud
14,faithful,I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.,This attractive girl at the bar was trying to get me to go home with her the other night,Actitud
15,faithful,god has done so much for me in my life. i owe everything to him,and i know he's going to come back for me and take me away from this place,Actitud
16,faithful,I have been with my car insurance company for 30 years.,I have been with my car insurance company for 30 years.,Actitud
