,Topic,Subject,Text
0,Agente inteligente,Definición de agente inteligente,"Un agente inteligente es un sistema perceptivo capaz de interpretar y procesar la información que recibe de su entorno, actuando en consecuencia de acuerdo a los datos que recoge y procesa. La forma de actuar de esta entidad es lógica y racional basándose en las reacciones del comportamiento normal de un sistema en concreto. Utiliza sensores para recibir información y actuadores para ejercer sus funciones."
1,Agente inteligente,Definición de agente inteligente,"Un Agente Inteligente es un programa con, al menos, las siguientes características: autónomo, sociable, con capacidad de reacción, con iniciativa propia. Existen distintos tipos de agentes inteligentes e incluso sistemas multi-agente, en donde varios agentes cooperan para alcanzar un fin común. Un ejemplo de agentes inteligentes son los robots aspiradores. Algunos son tan listos que pueden crear un mapa de tu vivienda para no pasar siempre por el mismo sitio y asegurarse que toda tu casa quede limpia."
2,Agente inteligente,Definición de agente inteligente,"Un agente inteligente, es una entidad capaz de percibir su entorno, procesar tales percepciones y responder o actuar en su entorno de manera racional, es decir, de manera correcta y tendiendo a maximizar un resultado esperado."
22,Algoritmo,Ejemplo de algoritmo,"El algoritmo PageRank de Google es quizás el más conocido del mundo digital. Su función es seleccionar el orden de los enlaces que aparecen cuando insertas una palabra o conjunto de palabras en el cajetín de búsqueda. Pero en el rey de los buscadores también operan otros algoritmos, menos conocidos, que se encargan de filtrar los resultados por país de procedencia, idioma… además de seleccionar qué contenidos de pago (anuncios) ve cada usuario en ese momento del día y para esa keyword."
21,Algoritmo,Input del algoritmo,Un ejemplo de input en el ámbito de la cocina podrían ser los ingrediente de una receta.
20,Algoritmo,Input del algoritmo,Un ejemplo de input en el campo de la informática podrían ser las páginas web que detecta la araña del buscador.
19,Algoritmo,Partes del algoritmo,"Las partes de las que se componen un algoritmo son las entradas o inputs, los procesamientos o las instrucciones, y las salidas o el resultado obtenido."
18,Algoritmo,Historia del algoritmo,"Aproximadamente en el año 300 A.C en la Grecia Helenística, el matemático Euclides escribió 'Elementos', un trabajo que sentaría las bases para la geometría de los próximos milenios, ese texto incluye su famoso algoritmo para hallar el máximo común divisor."
17,Algoritmo,Ejemplo de algoritmo,"Edgerank es el nombre del algoritmo de Facebook y se encarga de determinar qué publicaciones ves cada vez que accedes a la red social. No, no se trata de las últimas que han publicado todos tus contactos, sino de aquellas que Edgerank cree que pueden ser de tu interés. Así que si hace mucho que no sabes nada de tu antiguo compañero de clase, échale la culpa a este algoritmo."
15,Algoritmo,Historia del algoritmo,"Los humanos han creado, modificado y utilizado algoritmos a lo largo de la historia. Hace más de 4500 años los sumerios ilustraron en tablas de arcilla un método repetitivo utilizado para distribuir de forma equitativa la cosecha de granos entre un número variable de hombres."
14,Algoritmo,Clasificación de los algoritmos,"El tercer criterio que puede usarse para su clasificación es en base a su estrategia para alcanzar un resultado. En este grupo podemos mencionar a los algoritmos probabilísticos, heurísticos, voraces, de escalada y deterministas."
13,Algoritmo,Ejemplo de algoritmo,"Un ejemplo de algoritmo en el ámbito de la cocina podría ser como elaborar croquetas. Los pasos de este algoritmo serían los siguientes: Paso 1: Picar el jamón en trocitos pequeños, Paso 2: Poner en una la sartén un poco de mantequilla, una cucharada de harina..."
16,Algoritmo,Ejemplo de algoritmo de recomendación,"Spotify, YouTube o Instagram también funcionan con algoritmos de recomendación. De su éxito, es decir, de lo precisos que sean a la hora de acertar qué contenidos les van a molar a los usuarios, depende no solo la rentabilidad de las marcas que los ofrecen, sino también la propia experiencia de usuario en el canal. Si cuando entras en Spotify y pulsas en la opción de Radio, sonaran canciones que hacen daño a tus oídos, ¿a que no repetirías?."
11,Algoritmo,Input del algoritmo,La entrada o input son los datos sobre los que aplica las instrucciones.
12,Algoritmo,Características de los algoritmos,Una de las características de los algoritmos es que las reglas que lo componen se aplican de forma ordenada.
4,Algoritmo,Clasificación de los algoritmos,"Según el criterio utilizado se aplican diferentes clasificaciones a los algoritmos. Por ejemplo, si usamos la clasificación por el sistema de signos con el cual se describen los pasos a seguir del algoritmo, podemos diferenciar dos tipos, algoritmos cualitativos: aquellos que sus pasos son instrucciones verbales y algoritmos cuantitativos: aquellos que se siguen instrucciones de cálculos numéricos."
5,Algoritmo,Características de los algoritmos,Una de las características de los algoritmos es que los algoritmo siempre dan un resultado al final.
6,Algoritmo,Clasificación de los algoritmos,"Si se clasifican en base a su función se pueden establecer tres grupos principales como son los algoritmos de búsqueda, algoritmos de ordenamiento y algoritmos de encaminamiento o enrutamiento."
3,Algoritmo,Características de los algoritmos,"Una de las características de los algoritmos es que son completos, es decir, en la solución se deben considerar todas las posibilidades del problema."
8,Algoritmo,Definición de algoritmo,La definición de algoritmo más usada es la siguiente: secuencia de instrucciones para resolver un problema.
9,Algoritmo,Características de los algoritmos,"Una de las características de los algoritmos es  que las instrucciones o reglas son finitas, es decir, hay un número determinado de ellas."
10,Algoritmo,Definición de algoritmo,"Un algoritmo es un conjunto de reglas definidas que permite solucionar un problema, de una determinada manera, mediante operaciones sistemáticas (no necesariamente ordenadas) y finitas. Estas instrucciones, definidas y ordenadas en función de los datos, resuelven el problema o la tarea."
7,Algoritmo,Características de los algoritmos,"Una de las características de los algoritmos es que son deterministas, es decir, ante los mismos datos o input, el output siempre es el mismo."
