,Topic,Subject,Question,Answer
0,Agente inteligente,Definición de agente inteligente,What is the definition of an intelligent agent?,Intelligent agents are the future of technology.
1,Agente inteligente,Definición de agente inteligente,What is the goal of the project?,"The aim of this project is to develop intelligent agents for the production of high-quality, safe and efficient food."
2,Agente inteligente,Definición de agente inteligente,What is the definition of an intelligent agent?,"An intelligent agent is an entity capable of perceiving its environment, processing such perceptions and responding or acting in its environment rationally, i.e., tending to maximize an expected result."
3,Algoritmo,Características de los algoritmos,What does Jeremy Hobson look at?,"The BBC's science correspondent, Jeremy Hobson, looks at the role of algorithms in computing."
4,Algoritmo,Características de los algoritmos,What does Jeremy Hobson look at?,"The BBC's science correspondent, Jeremy Hobson, looks at the challenges faced by researchers trying to develop algorithms for predicting the behaviour of natural disasters."
5,Algoritmo,Características de los algoritmos,What is the aim of this paper?,The aim of this paper is to show how to design algorithms for the problem of the distribution of the number of points of a series of triplets.
6,Algoritmo,Clasificación de los algoritmos,What is the classification of data by?,In this paper we will discuss the classification of data by the following criteria:
7,Algoritmo,Input del algoritmo,What is the name of the command that specifies the steps to be taken when a given command is executed?,The following example shows how to use the following commands to specify the steps to be taken when a given command is executed.
8,Algoritmo,Input del algoritmo,What is the name of the algorithm that is used to determine the results of a search?,"The internet is a huge and complex place, and the internet is a huge part of our daily lives."
9,Algoritmo,Partes del algoritmo,What is the name of the part of an algorithm?,An algorithm is a computer program that uses a set of instructions to solve a problem.
10,Algoritmo,Ejemplo de algoritmo,What is the name of the algorithm used by Google?,Google has been accused of manipulating its search results to favour its own products and services over those of rivals such as Yahoo and Bing.
11,Algoritmo,Ejemplo de algoritmo,What is the name of the algorithm that Facebook uses to find out what you're interested in?,Facebook has revealed that it is using Edgerank to find out what you're most likely to be interested in on the site.
12,Algoritmo,Ejemplo de algoritmo de recomendación,What is one way to get people to like your content?,"In the world of social media, recommendation algorithms are not the only way to get people to like your content."
13,Algoritmo,Historia del algoritmo,What does John Sudworth look at?,"The BBC's science correspondent, Dr John Sudworth, looks at the history of algorithms."
14,Algoritmo,Historia del algoritmo,What is the name of the film that celebrates Euclid?,"The ancient Greek mathematician Euclid is celebrated in the film The Big Bang Theory, which opens in the UK on Friday."
15,Algoritmo,Clasificación de los algoritmos,What is the name of the paper that describes the classification of algorithms?,In this paper we describe the classification of algorithms.
16,Algoritmo,Características de los algoritmos,What is the idea of an algorithm?,The idea of an algorithm is to create a set of rules that can be used to solve problems.
17,Algoritmo,Características de los algoritmos,What is a computer program that uses instructions or rules to solve problems?,An algorithm is a computer program that uses instructions or rules to solve problems.
18,Algoritmo,Input del algoritmo,What is the name of the algoritm?,A cooking class is a chance for students to learn how to prepare a meal.
19,Algoritmo,Definición de agente inteligente,What is the name of the algorithm?,The algorithm is a set of instructions that is used to solve problems.
20,Algoritmo,Clasificación de los algoritmos,What is one of the main functions of computer systems?,The following are some of the main functions of computer systems.
21,Algoritmo,Ejemplo de algoritmo,What is an algorithm?,"An algorithm is a computer program that can do something, such as make a recipe, that a human would be able to do."
22,Algoritmo,Definición de agente inteligente,What is the term for an algorithm?,"The term algorithm is a description of a set of rules that allows a problem to be solved, in a certain way, by means of systematic (not necessarily ordered) and finite operations."
23,Aprendizaje automático,Definición de aprendizaje automático,What does Sue Perkins explain about machine learning?,"The BBC's artificial intelligence expert, Sue Perkins, explains how machine learning works."
24,Aprendizaje federado,Ejemplo de aprendizaje federado,What is the name of the project?,"Researchers at the University of California, Los Angeles, have developed a way to train artificial intelligence models that can be used in hospitals."
25,Aprendizaje federado,Definición de aprendizaje federado,What is the name of the new way of learning at the University of Cambridge?,"The University of Cambridge has developed a new way of learning, called Federated Learning."
26,Aprendizaje por refuerzo,Ejemplos de aprendizaje por refuerzo,What is the term for a new type of artificial intelligence?,A new type of artificial intelligence is being developed that can predict the future behaviour of people.
27,Aprendizaje por refuerzo,Definición de aprendizaje por refuerzo,What is the name of the new type of machine learning?,The research group at the University of Bristol has developed a new type of machine learning called reinforcement learning.
28,Aprendizaje por refuerzo,Ejemplos de aprendizaje por refuerzo,What is a reward for doing well?,"Researchers at the University of California, Berkeley, have developed a way to teach children to learn by giving them a reward for doing well."
29,Aprendizaje por refuerzo,Ejemplos de aprendizaje por refuerzo,What is the name of the tool that is used to learn how to use a website?,This is a very useful tool for learning how to use a website.
30,Aprendizaje por refuerzo,Definición de aprendizaje por refuerzo,What is the definition of reinforcement learning?,This paper describes the use of reinforcement learning in software development.
31,Aprendizaje por refuerzo,Funcionalidad del aprendizaje por refuerzo,What is the main feature of the aprendizaje?,In this paper we show how to train a group of unsupervised learning algorithms.
32,Autoencoder,Definición de autoencoder,What is the goal of the project?,The research group in this project is developing an autoencoder for the decoding of audio signals.
33,Autoencoder,Definición de autoencoder,What is the name of the new method developed?,A novel method for learning autoencoders has been developed.
34,Autoencoder,Definición de autoencoder,What is the name of the autoencoder developed by the University of Cambridge?,The University of Cambridge has developed an autoencoder for the Cambridge University Press.
35,Big data,Uso de big data,What is the term for the collection and analysis of large amounts of data?,Big Data is the collection and analysis of large amounts of data.
36,Big data,Definición de big data,What is the definition of big data?,"In our series of letters from African journalists, filmmaker and columnist Ahmed Rashid looks at the big data revolution."
37,Big data,Definición de big data,What is the definition of big data?,"The term 'big data' has been around for a long time, but has now become more common."
38,Blockchain,Ejemplo de blockchain,What is the name of the technology used in the banking sector?,The use of blockchain technology in the banking sector has been growing in recent years.
39,Blockchain,Definición de blockchain,What is the definition of blockchain?,The Blockchain Foundation is a non-profit organisation that promotes the adoption of Blockchain technology.
40,Blockchain,Definición de blockchain,What is the name of the new technology being used to help businesses manage their digital assets?,A new technology is being used to help businesses manage their digital assets.
41,Blockchain,Ejemplo de blockchain,What is the name of the technology that allows the transfer of information between computers?,Blockchain is a technology that allows the transfer of information between computers.
42,Blockchain,Definición de blockchain,What is the definition of blockchain?,The Blockchain Foundation is a non-profit organisation that promotes the use of Blockchain technology.
43,Blockchain,Definición de blockchain,What is the definition of blockchain?,The Blockchain technology is a new way of doing business.
44,Blockchain,Blockchain example,What type of technology is expected to be the fastest growing segment of the global market?,The telecommunications sector is expected to be one of the fastest growing segments in the global blockchain market.
45,Bot,Ejemplo de bot,What is a bot?,A bot is a computer program that is capable of playing a video game.
46,Bot,Definición de bot,What is the definition of a bot?,A bot is a software application that is programmed to perform certain tasks.
47,Bot,Definición de bot,What is the definition of a bot?,A bot is a computer program capable of performing repetitive tasks.
48,Bot,Ejemplo de bot,What is the name of the bot used in the election?,"The United States is currently holding elections to choose a new president, and the use of bots in the campaign has been a major issue."
49,Bot,Tipos de bot,What is a bot?,Bots are software programs designed to monitor and control other people's online activities.
50,Ciencia de datos,Ventajas de la ciencia de datos,What is the term for the use of data to improve the way we work?,The use of data to improve the way we work has become a key factor in the success of many companies.
51,Ciencia de datos,Definición de ciencia de datos,What is the term for data science?,Data science is a branch of science that uses data to solve problems.
52,Ciencia de datos,Definición de ciencia de datos,What is the topic of the PhD program at the University of Bristol?,The University of Bristol is offering a PhD in data science.
