Topic,Subject,Question,Answer
"Actitud","excited","I'm going to building a gaming pc. This is my first time.","Wow. It can be difficult to put together but finding the parts is a lot of fun."
"Actitud","excited","A new skating rink is being built. Should be done in time for Winter skating!","That's great! I may look it up and go to their grand opening as well."
"Actitud","proud","I won a teaching award last year for my work with at-risk youth. ","It's nice to be recognized. What do you do for a living?"
"Actitud","faithful","When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.","Why do cities make you feel that way?"
"Actitud","proud","I was happy when my brother graduated college. I was just happy for him","I was happy when my brother finished college. He really did deserve it"
"Actitud","joyful","Get to hang out and play cards with my girlfriend and her parents. Her parents are actually pretty laid back and fun to be around_comma_ so I'm looking forward to it. Glad I don't have to deal with overbearing in-laws like some people.","That's good. Were you nervous at first?"
"Actitud","joyful","I felt so happy seeing my high school friends last month. We were at our reunion","True! All those old memories started rushing in"
"Actitud","confident"," I knew I was going to pass my final. I studied all week","I was confident about my final test. I had studied all week hard"
"Actitud","prepared","I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.","I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u."
"Actitud","joyful","I am going to eat some BBQ later.  I am so happy for it.","That sounds so good and the perfect way to spend a Sunday."
"Actitud","confident","Going to a job interview soon and I think I got this!","It is great to be confident. I am sure you will knock the interview out of the park!"
"Actitud","faithful","I love my girlfriend so much. I think im going to marry her.","Congratulations and thats OK I do that a lot too."
"Actitud","hopeful","I am feeling this way in hopes that I get into grad school.","I really hope I get accepted into grad school."
"Actitud","proud","My little boy got on the bus this morning. He made me so happy for him.","That's so sweet. "
"Actitud","joyful","I was very happy to get my new job","oh wow. we're practically neighbors."
"Actitud","excited","My brother and a bunch of our friends planned to go to a 15-person cottage in July. I could not wait for all the fun and games we would experience!","It's very close to a lake_comma_ it probably takes a two minute hike down through a patch of trees and tall grass to get there."
"Actitud","trusting","My daughter has grown up so much. She is finally able tobabysit her younger siblings","my daughter has matured so well"
"Actitud","proud","My daughter got is going to university. I'm so happy. ","Thank you_comma_ I'm so proud"
"Actitud","trusting","When my dad wanted to help me get a car_comma_ I trusted him. I knew he would help me a lot","That is nice of him_comma_ that is a good dad right there!"
